state,year,population_density
Johor,2019,195.79385736595523
Johor,2020,208.72982821447164
Johor,2021,209.2660072878709
Johor,2022,209.69807391983343
Johor,2023,213.8053097345133
Johor,2024,217.82404997397185
Johor,2025,218.94325871941697
Kedah,2019,228.81052631578947
Kedah,2020,224.3578947368421
Kedah,2021,226.49473684210525
Kedah,2022,227.69473684210527
Kedah,2023,230.45263157894738
Kedah,2024,233.37894736842105
Kedah,2025,234.52631578947367
Kelantan,2019,124.76322935293729
Kelantan,2020,118.71647128948938
Kelantan,2021,120.02781641168289
Kelantan,2022,121.23981720643751
Kelantan,2023,123.17372011391483
Kelantan,2024,125.03477051460362
Kelantan,2025,126.34611563679714
Malacca,2019,557.9326923076923
Malacca,2020,600.0
Malacca,2021,603.6658653846154
Malacca,2022,606.1298076923077
Malacca,2023,617.96875
Malacca,2024,629.0264423076923
Malacca,2025,632.5120192307693
Negeri Sembilan,2019,168.44151959317978
Negeri Sembilan,2020,179.47950942267425
Negeri Sembilan,2021,180.1076877056536
Negeri Sembilan,2022,180.66108285970685
Negeri Sembilan,2023,183.20370924319474
Negeri Sembilan,2024,185.38737660783727
Negeri Sembilan,2025,186.15016452288364
Pahang,2019,46.25176411987714
Pahang,2020,44.0351993801367
Pahang,2021,44.31745856047818
Pahang,2022,44.67166615933807
Pahang,2023,45.47140050363893
Pahang,2024,46.149375985831696
Pahang,2025,46.43993690677145
Perak,2019,119.26788685524126
Perak,2020,118.65937722842881
Perak,2021,119.60066555740433
Perak,2022,119.53410981697171
Perak,2023,120.80817684811029
Perak,2024,122.14879961968148
Perak,2025,122.41026859995246
Perlis,2019,309.37880633373936
Perlis,2020,347.01583434835567
Perlis,2021,350.3045066991474
Perlis,2022,352.98416565164433
Perlis,2023,357.00365408038977
Perlis,2024,361.510353227771
Perlis,2025,362.72838002436055
Penang,2019,1687.7862595419847
Penang,2020,1660.6870229007634
Penang,2021,1660.3053435114505
Penang,2022,1661.1641221374045
Penang,2023,1691.4122137404581
Penang,2024,1718.0343511450383
Penang,2025,1720.706106870229
Sabah,2019,53.026578479173175
Sabah,2020,46.43153019787861
Sabah,2021,46.3473265336611
Sabah,2022,46.37856337683856
Sabah,2023,48.84763211147479
Sabah,2024,50.82098572612079
Sabah,2025,51.060015482609224
Sarawak,2019,22.547207713941344
Sarawak,2020,19.716351948573724
Sarawak,2021,19.81197267979108
Sarawak,2022,19.875451988750502
Sarawak,2023,20.106870229007633
Sarawak,2024,20.229007633587788
Sarawak,2025,20.327842507030937
Selangor,2019,802.8257650542942
Selangor,2020,863.0799605133268
Selangor,2021,865.5848963474828
Selangor,2022,869.9777887462981
Selangor,2023,889.647087857848
Selangor,2024,908.5266535044423
Selangor,2025,913.9684106614018
Terengganu,2019,95.47372458764863
Terengganu,2020,88.17798235519754
Terengganu,2021,89.8120444955888
Terengganu,2022,91.03183736095129
Terengganu,2023,92.82700421940929
Terengganu,2024,94.47640966628309
Terengganu,2025,95.65784426543921
Kuala Lumpur,2019,7335.390946502058
Kuala Lumpur,2020,8156.79012345679
Kuala Lumpur,2021,8082.3045267489715
Kuala Lumpur,2022,8070.781893004115
Kuala Lumpur,2023,8253.909465020575
Kuala Lumpur,2024,8508.230452674898
Kuala Lumpur,2025,8535.390946502057
Labuan,2019,1091.2087912087911
Labuan,2020,1045.0549450549452
Labuan,2021,1054.9450549450548
Labuan,2022,1064.8351648351647
Labuan,2023,1087.9120879120878
Labuan,2024,1107.6923076923076
Labuan,2025,1108.7912087912089
Putrajaya,2019,2116.326530612245
Putrajaya,2020,2228.5714285714284
Putrajaya,2021,2351.0204081632655
Putrajaya,2022,2387.7551020408164
Putrajaya,2023,2424.4897959183672
Putrajaya,2024,2455.1020408163267
Putrajaya,2025,2465.3061224489797
