state,lon,lat,subway,monorail,light_rail,train
Selangor,101.4988027236965,3.272824806353529,61.0,7.0,109.0,74.0
Johor,103.38899685592082,2.051153997506216,0.0,0.0,0.0,22.0
Kuala Lumpur,101.69003028473807,3.1437035439996146,70.0,20.0,81.0,49.0
Malacca,102.30443485469902,2.3234635899376577,0.0,0.0,0.0,4.0
Negeri Sembilan,102.20671879265453,2.7750647953633965,0.0,0.0,0.0,27.0
Sabah,117.12803859784944,5.349390426357747,0.0,0.0,0.0,0.0
Sarawak,113.29747630518196,2.5874391964253642,0.0,0.0,0.0,0.0
Kelantan,102.02738884992812,5.284972469007126,0.0,0.0,0.0,53.0
Putrajaya,101.69122036623595,2.931728962769461,2.0,0.0,0.0,2.0
Terengganu,102.94727085772259,4.938223010799568,0.0,0.0,0.0,0.0
Pahang,102.5407900271637,3.739593737639326,0.0,0.0,0.0,31.0
Kedah,100.61756042238315,5.9439232564201445,0.0,0.0,0.0,15.0
Perlis,100.24167398113109,6.5037667411822,0.0,0.0,0.0,7.0
Perak,101.10682939849016,4.773567097717561,0.0,0.0,0.0,37.0
Penang,100.4000775999957,5.366135665689545,0.0,0.0,0.0,25.0
Labuan,115.22049757556505,5.308400585880597,0.0,0.0,0.0,0.0
